Participant id,Condition,Event,WC,Analytic,Clout,Authentic,Tone,WPS,BigWords,Dic,Linguistic,function,pronoun,ppron,i,we,you,shehe,they,ipron,det,article,number,prep,auxverb,adverb,conj,negate,verb,adj,quantity,Drives,affiliation,achieve,power,Cognition,allnone,cogproc,insight,cause,discrep,tentat,certitude,differ,memory,Affect,tone_pos,tone_neg,emotion,emo_pos,emo_neg,emo_anx,emo_anger,emo_sad,swear,Social,socbehav,prosocial,polite,conflict,moral,comm,socrefs,family,friend,female,male,Culture,politic,ethnicity,tech,Lifestyle,leisure,home,work,money,relig,Physical,health,illness,wellness,mental,substances,sexual,food,death,need,want,acquire,lack,fulfill,fatigue,reward,risk,curiosity,allure,Perception,attention,motion,space,visual,auditory,feeling,time,focuspast,focuspresent,focusfuture,Conversation,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,QMark,Exclam,Apostro,OtherP,Emoji
5e3f867091be661d53bd43df,Truthful,Being hospitalised and undergoing surgery,70,21.11,1.0,99.0,84.26,35.0,8.57,97.14,78.57,61.43,18.57,17.14,14.29,0.0,0.0,0.0,2.86,1.43,12.86,4.29,2.86,12.86,5.71,5.71,8.57,5.71,15.71,5.71,5.71,2.86,1.43,1.43,0.0,14.29,4.29,10.0,0.0,1.43,2.86,0.0,0.0,4.29,0.0,4.29,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,1.43,1.43,0.0,0.0,0.0,0.0,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.71,0.0,2.86,2.86,0.0,0.0,7.14,2.86,1.43,0.0,0.0,0.0,0.0,1.43,0.0,0.0,0.0,2.86,0.0,0.0,0.0,0.0,0.0,0.0,7.14,14.29,1.43,4.29,7.14,0.0,0.0,1.43,11.43,8.57,1.43,0.0,0.0,0.0,0.0,0.0,0.0,7.14,2.86,4.29,0.0,0.0,0.0,0.0,0.0
5ede000fb1248f0009695ab4,Truthful,Ending a long romantic relationship,220,7.13,15.75,53.75,32.87,27.5,15.0,95.45,83.18,69.09,20.91,15.45,8.64,1.36,0.0,5.45,0.0,5.45,16.82,5.91,1.82,11.36,12.27,8.64,10.45,0.91,17.27,10.91,5.91,5.0,4.55,0.45,0.0,13.18,1.82,11.36,1.82,0.0,0.91,1.82,2.73,5.0,0.45,8.18,4.55,3.64,4.55,1.36,3.18,0.45,0.91,0.45,0.0,11.82,3.18,0.45,0.0,0.45,0.0,0.91,8.18,0.0,0.0,5.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.0,0.0,2.27,0.0,0.0,0.0,0.91,0.45,0.0,0.45,1.36,0.0,0.0,0.0,5.91,4.09,0.0,0.0,4.09,0.0,0.0,0.0,5.45,13.18,0.45,0.45,0.0,0.0,0.0,0.0,0.0,7.27,3.64,3.18,0.0,0.0,0.45,0.0,0.0
5be1f3f38a2c8000016246e7,Truthful,None of them,71,61.59,99.0,41.26,99.0,14.2,23.94,91.55,69.01,54.93,16.9,12.68,4.23,8.45,0.0,0.0,0.0,4.23,18.31,8.45,0.0,11.27,4.23,4.23,7.04,0.0,9.86,4.23,7.04,15.49,15.49,1.41,0.0,8.45,4.23,2.82,0.0,1.41,0.0,0.0,1.41,0.0,1.41,12.68,12.68,0.0,5.63,5.63,0.0,0.0,0.0,0.0,0.0,23.94,7.04,0.0,0.0,0.0,0.0,1.41,16.9,2.82,1.41,0.0,0.0,1.41,0.0,0.0,1.41,5.63,4.23,0.0,1.41,0.0,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.0,2.82,0.0,0.0,0.0,1.41,0.0,0.0,0.0,0.0,0.0,0.0,9.86,7.04,0.0,1.41,5.63,0.0,0.0,0.0,5.63,11.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.86,7.04,1.41,0.0,0.0,0.0,1.41,0.0
61324459277ad7b87bcf3839,Truthful,Missing a deadline at work because of bad organisation,78,45.8,2.37,74.77,2.7,15.6,14.1,98.72,80.77,70.51,21.79,16.67,11.54,0.0,0.0,5.13,0.0,5.13,16.67,11.54,0.0,16.67,8.97,5.13,7.69,2.56,15.38,3.85,5.13,1.28,0.0,1.28,0.0,15.38,0.0,15.38,2.56,1.28,1.28,3.85,3.85,5.13,1.28,5.13,1.28,3.85,3.85,0.0,3.85,0.0,0.0,2.56,0.0,7.69,0.0,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,5.13,0.0,0.0,0.0,0.0,0.0,7.69,0.0,0.0,7.69,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.56,1.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.13,0.0,0.0,3.85,0.0,0.0,1.28,5.13,11.54,1.28,0.0,0.0,0.0,0.0,0.0,0.0,10.26,6.41,0.0,0.0,0.0,3.85,0.0,0.0
5fbea94117bb180684661d1e,Truthful,None of them,131,33.61,1.86,98.73,55.92,26.2,12.98,99.24,74.81,61.83,16.03,13.74,12.98,0.0,0.0,0.0,0.76,2.29,10.69,5.34,3.05,16.79,10.69,6.11,9.92,1.53,18.32,3.82,4.58,9.92,3.82,6.11,0.76,11.45,0.76,10.69,1.53,1.53,1.53,2.29,1.53,2.29,0.0,5.34,3.82,1.53,3.05,1.53,1.53,0.0,0.0,0.0,0.0,6.11,0.76,0.0,0.0,0.0,0.0,0.0,4.58,1.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.16,3.05,0.76,4.58,0.76,0.0,3.82,1.53,0.0,0.0,0.0,0.0,0.0,2.29,0.0,3.05,0.0,0.76,0.0,0.0,1.53,0.0,0.0,0.0,10.69,4.58,0.0,2.29,3.82,0.0,0.76,0.0,9.16,12.98,0.76,0.76,0.76,0.76,0.0,0.0,0.0,11.45,3.82,4.58,0.0,0.0,1.53,1.53,0.0
60deef8ac5cb89037125765b,Truthful,Being hospitalised and undergoing surgery,217,55.46,3.26,95.01,7.7,14.47,17.51,94.47,74.65,57.14,15.67,11.98,8.76,0.92,0.0,0.0,2.3,3.69,12.44,8.29,1.38,15.21,8.29,3.69,8.29,2.3,20.74,4.61,3.23,3.23,1.84,0.46,0.92,11.52,0.46,10.6,2.76,2.76,0.46,0.46,0.0,4.61,0.0,6.91,2.76,4.15,2.3,0.0,2.3,1.38,0.0,0.46,0.0,8.29,5.07,1.38,0.0,0.46,0.46,1.38,4.15,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.46,3.23,0.92,0.0,1.38,0.92,0.0,7.37,5.53,5.53,0.0,0.0,0.0,0.0,0.46,0.0,2.76,0.0,1.84,0.92,0.0,0.0,0.0,1.38,0.0,4.61,5.53,0.0,1.84,2.76,0.0,0.46,0.92,6.91,17.05,0.92,0.92,0.0,0.0,0.0,0.0,0.0,8.29,6.91,0.0,0.0,0.0,1.38,0.0,0.0
655e07fe3748d2e119629964,Truthful,Cheating on an exam,87,11.82,1.0,99.0,20.23,21.75,20.69,91.95,74.71,54.02,16.09,11.49,11.49,0.0,0.0,0.0,0.0,4.6,10.34,3.45,3.45,9.2,11.49,5.75,9.2,2.3,25.29,5.75,3.45,1.15,1.15,0.0,0.0,13.79,0.0,13.79,3.45,0.0,2.3,1.15,0.0,6.9,0.0,2.3,1.15,1.15,1.15,0.0,1.15,0.0,1.15,0.0,0.0,9.2,9.2,1.15,0.0,0.0,0.0,5.75,0.0,0.0,0.0,0.0,0.0,1.15,0.0,0.0,1.15,4.6,0.0,1.15,3.45,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3,11.49,1.15,1.15,8.05,0.0,1.15,0.0,4.6,10.34,3.45,2.3,0.0,0.0,0.0,0.0,0.0,14.94,4.6,9.2,0.0,0.0,0.0,1.15,0.0
60c89adfa20cd70f0a3b0059,Truthful,Getting a speeding fine,84,56.86,3.12,99.0,,21.0,14.29,88.1,70.24,53.57,14.29,10.71,10.71,0.0,0.0,0.0,0.0,3.57,13.1,7.14,7.14,14.29,7.14,7.14,7.14,0.0,9.52,4.76,11.9,1.19,0.0,0.0,1.19,3.57,0.0,3.57,0.0,1.19,0.0,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,0.0,1.19,2.38,1.19,0.0,1.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.76,16.67,0.0,4.76,11.9,0.0,0.0,0.0,13.1,5.95,3.57,0.0,0.0,0.0,0.0,0.0,0.0,17.86,4.76,8.33,0.0,0.0,2.38,2.38,0.0
65e1dfda31467fe6148d64fb,Truthful,Missing a deadline at work because of bad organisation,146,64.55,1.0,99.0,12.97,18.25,15.75,95.21,74.66,61.64,19.86,16.44,16.44,0.0,0.0,0.0,0.0,3.42,20.55,10.96,0.68,15.75,6.85,5.48,6.16,0.0,13.01,2.74,5.48,4.11,0.0,1.37,2.74,7.53,0.0,7.53,1.37,0.68,0.0,0.0,1.37,1.37,1.37,2.05,0.68,1.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.11,3.42,0.0,0.68,0.0,0.0,2.05,0.68,0.0,0.0,0.0,0.0,0.68,0.0,0.0,0.68,8.9,0.0,0.0,8.9,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.68,0.0,0.0,1.37,0.0,5.48,6.16,0.68,3.42,2.05,0.0,0.0,0.0,10.96,11.64,0.0,0.68,0.0,0.0,0.0,0.0,0.0,6.85,5.48,1.37,0.0,0.0,0.0,0.0,0.0
6303b06e6c5c25b452b2d1e3,Truthful,None of them,76,52.34,82.58,84.38,99.0,12.67,11.84,98.68,71.05,57.89,21.05,15.79,7.89,3.95,0.0,3.95,0.0,5.26,21.05,9.21,1.32,11.84,5.26,1.32,9.21,0.0,13.16,3.95,3.95,11.84,11.84,2.63,0.0,5.26,2.63,2.63,0.0,0.0,0.0,0.0,0.0,1.32,0.0,9.21,9.21,0.0,5.26,5.26,0.0,0.0,0.0,0.0,0.0,18.42,3.95,0.0,0.0,0.0,0.0,0.0,13.16,3.95,0.0,7.89,0.0,0.0,0.0,0.0,0.0,9.21,5.26,0.0,0.0,3.95,0.0,6.58,0.0,0.0,0.0,0.0,0.0,0.0,6.58,0.0,0.0,0.0,2.63,0.0,0.0,0.0,0.0,0.0,0.0,5.26,10.53,0.0,3.95,5.26,0.0,1.32,0.0,9.21,13.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.16,7.89,1.32,0.0,0.0,2.63,1.32,0.0
616550455f8f691a658e06b0,Truthful,Being involved in a car accident,75,80.25,77.41,99.0,2.44,75.0,10.67,89.33,77.33,53.33,10.67,9.33,2.67,6.67,0.0,0.0,0.0,1.33,12.0,8.0,0.0,16.0,5.33,2.67,9.33,1.33,13.33,13.33,4.0,6.67,6.67,0.0,0.0,8.0,1.33,6.67,2.67,0.0,0.0,1.33,0.0,2.67,0.0,5.33,1.33,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,6.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.67,0.0,2.67,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.33,0.0,0.0,0.0,2.67,0.0,1.33,0.0,0.0,1.33,0.0,12.0,17.33,0.0,8.0,8.0,0.0,0.0,1.33,8.0,10.67,0.0,0.0,1.33,0.0,1.33,0.0,0.0,10.67,1.33,9.33,0.0,0.0,0.0,0.0,0.0
5c409b936a8706000178f088,Truthful,Missing a deadline at work because of bad organisation,88,68.43,46.79,50.45,1.0,29.33,12.5,94.32,75.0,67.05,14.77,11.36,5.68,4.55,0.0,0.0,0.0,3.41,25.0,13.64,1.14,13.64,10.23,3.41,6.82,2.27,14.77,2.27,6.82,9.09,4.55,2.27,2.27,12.5,4.55,7.95,2.27,2.27,0.0,1.14,0.0,2.27,0.0,4.55,0.0,4.55,1.14,0.0,1.14,0.0,0.0,1.14,0.0,10.23,3.41,0.0,0.0,1.14,1.14,0.0,6.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.23,0.0,0.0,7.95,2.27,0.0,3.41,0.0,0.0,0.0,0.0,0.0,0.0,2.27,1.14,0.0,0.0,2.27,0.0,1.14,0.0,0.0,0.0,0.0,5.68,4.55,0.0,1.14,4.55,0.0,0.0,0.0,2.27,14.77,0.0,1.14,0.0,0.0,0.0,0.0,0.0,7.95,3.41,0.0,0.0,0.0,2.27,2.27,0.0
646b7a5c0c6dfecf6c86ee5f,Truthful,Being involved in a car accident,180,24.75,40.06,89.39,6.08,16.36,10.56,92.22,71.11,65.0,18.89,11.67,6.67,2.78,0.0,2.22,0.0,7.22,21.11,11.11,0.0,11.67,12.78,7.22,6.67,2.78,15.56,2.22,1.67,9.44,7.78,1.11,0.56,12.22,2.22,8.89,1.67,3.33,0.0,1.11,0.0,3.33,0.56,2.78,0.56,2.22,1.11,0.0,1.11,0.0,0.0,0.0,0.0,12.22,2.22,0.0,0.0,0.0,0.0,0.56,10.0,5.0,0.0,4.44,2.78,5.0,0.0,0.0,5.0,2.22,0.0,0.56,1.11,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,6.67,8.33,0.0,1.11,7.22,0.0,0.0,0.0,7.22,13.33,1.67,0.0,0.0,0.0,0.0,0.0,0.0,10.56,6.11,0.56,0.0,0.0,3.89,0.0,0.0
617043d82d04da516b29f797,Truthful,A job interview for your dream job,62,41.62,1.0,99.0,44.38,15.5,16.13,98.39,79.03,51.61,14.52,14.52,12.9,0.0,0.0,0.0,1.61,0.0,9.68,3.23,0.0,14.52,6.45,1.61,12.9,1.61,16.13,17.74,16.13,3.23,0.0,3.23,0.0,14.52,0.0,14.52,4.84,1.61,1.61,3.23,0.0,4.84,0.0,1.61,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.45,3.23,0.0,0.0,0.0,0.0,1.61,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.06,0.0,0.0,6.45,3.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.61,0.0,3.23,0.0,0.0,0.0,0.0,14.52,12.9,0.0,3.23,11.29,0.0,1.61,0.0,6.45,1.61,3.23,0.0,0.0,0.0,0.0,0.0,0.0,8.06,4.84,3.23,0.0,0.0,0.0,0.0,0.0
615ea06b47b61e5af0f72582,Truthful,A job interview for your dream job,124,67.74,13.53,95.4,31.3,20.67,16.94,95.16,79.03,55.65,14.52,12.1,8.87,0.0,0.0,0.0,3.23,2.42,16.94,11.29,1.61,11.29,6.45,4.03,7.26,0.81,18.55,8.87,8.06,4.03,1.61,2.42,0.0,12.1,0.0,11.29,3.23,1.61,0.0,0.81,1.61,3.23,0.81,4.03,2.42,1.61,1.61,0.81,0.81,0.0,0.0,0.0,0.0,16.94,11.29,0.81,0.81,0.0,0.0,8.06,7.26,0.0,0.0,0.81,0.0,0.0,0.0,0.0,0.0,8.87,0.0,0.0,8.87,0.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.81,0.0,0.0,0.0,0.81,0.0,1.61,5.65,8.06,1.61,0.81,4.03,1.61,0.0,1.61,7.26,13.71,0.81,0.81,0.81,0.81,0.0,0.0,0.0,8.87,4.84,4.03,0.0,0.0,0.0,0.0,0.0
