num_sentences,num_words,num_syllables,avg_syllables_per_word,fk_grade,fk_read,Analytic,Authentic,Tone,tone_pos,tone_neg,focuspast,focuspresent,focusfuture,Cognition,memory,Self-reference,Other-reference,Contextual Embedding,Perceptual Details,Reality Monitoring,Temporal details,Spatial details,Quantity details,People,concreteness,Condition,Participant_id,Event
7,135,182,1.348148148148148,7.3,77.27,66.04,37.04,12.48,1.48,2.22,6.67,4.44,0.0,10.37,0.0,5.19,8.15,13.330000000000002,0.74,7.400000000000004,0.7194244604316548,0.0,0.0,0.0,3.4167500000000004,Truthful,60895dd42aa4dab10a53566c,Being involved in a car accident
6,108,143,1.3240740740740742,6.8,78.59,28.44,99.0,,0.0,0.0,5.56,7.41,0.0,12.04,0.93,8.33,0.0,20.37,1.85,10.180000000000003,2.727272727272727,0.0,0.0,0.0,3.358000000000001,Truthful,5f9ee62fe233d94be4cdf755,Taking the bus/train without the ticket
7,86,135,1.569767441860465,8.1,58.99,70.9,99.0,56.53,3.49,1.16,16.28,0.0,1.16,6.98,0.0,5.8100000000000005,2.33,30.23,2.32,30.219999999999995,6.976744186046512,0.0,0.0,0.0,3.022727272727273,Truthful,5f08d7296564471443092f58,None of them
5,63,84,1.3333333333333333,4.7,84.07,25.13,99.0,20.23,3.17,3.17,9.52,4.76,0.0,17.46,0.0,12.7,6.34,23.81,0.0,12.699999999999996,1.5873015873015872,0.0,0.0,1.5873015873015872,2.5265,Truthful,60fd1e7d5453cf5818e34cfa,Cheating on your partner
5,123,164,1.3333333333333333,9.3,71.89,20.05,87.24,20.23,1.63,1.63,7.32,3.25,0.0,16.26,0.81,11.38,0.0,9.75,1.62,-1.6400000000000006,0.0,0.0,0.0,0.0,3.1239285714285714,Truthful,5d1f3c99608da700167a1391,Taking the bus/train without the ticket
5,57,85,1.4912280701754386,6.6,68.36,31.8,96.42,46.76,1.75,0.0,8.77,3.51,0.0,7.02,0.0,14.04,1.75,10.52,0.0,5.25,1.6666666666666667,0.0,1.6666666666666667,0.0,3.2485,Truthful,6570db71dc75f34174a32198,None of them
1,149,206,1.3825503355704698,59.0,-62.85,6.8,95.57,39.82,3.36,2.01,14.09,1.34,0.0,14.09,0.0,15.44,6.71,12.08,2.0100000000000002,5.370000000000001,1.9867549668874174,0.0,0.0,0.0,3.1407692307692314,Truthful,65cb86d46eab3e66a7800e11,Cheating on your partner
19,351,505,1.4387464387464388,8.1,69.62,59.49,68.64,41.21,2.85,1.42,5.13,5.13,0.57,14.53,0.0,3.7,1.99,9.97,4.83,4.540000000000001,1.392757660167131,0.0,0.2785515320334262,0.0,3.0324489795918375,Truthful,6596830f2825d3d95e7d5d6e,Cheating on an exam
3,73,100,1.36986301369863,10.4,63.73,34.21,99.0,40.28,1.37,0.0,12.33,2.74,0.0,20.55,1.37,9.59,1.37,27.4,0.0,8.219999999999999,1.3333333333333335,0.0,0.0,0.0,3.4204761904761902,Truthful,659886c6ff76317c84f88b70,Getting a speeding fine
3,76,90,1.1842105263157894,8.4,79.64,1.0,99.0,1.0,2.63,6.58,9.21,6.58,2.63,15.79,0.0,15.79,0.0,10.530000000000001,1.32,5.270000000000003,0.0,0.0,0.0,0.0,3.141578947368421,Truthful,613a1c2b27a44b46ca15471e,None of them
4,95,115,1.2105263157894737,7.9,81.16,80.4,95.32,69.9,3.16,0.0,8.42,0.0,2.11,12.63,0.0,6.32,1.05,18.950000000000003,0.0,9.480000000000002,6.249999999999999,0.0,0.0,0.0,2.891212121212121,Truthful,60f856b9f5b36eb3bf795366,Missing a deadline at work because of bad organisation
5,94,149,1.5851063829787233,10.6,52.39,77.99,87.53,35.29,2.13,1.06,9.57,1.06,0.0,5.32,0.0,15.96,0.0,8.52,2.13,8.519999999999998,0.0,0.0,0.0,0.0,3.0983870967741933,Truthful,6166ad56031d3607ffce86f4,Cheating on an exam
16,276,391,1.4166666666666667,7.7,70.84,8.8,70.05,3.88,1.45,3.62,11.96,1.45,0.72,13.77,0.0,12.31,5.8,9.05,1.8,2.5100000000000016,0.7092198581560284,0.0,0.0,0.0,2.975974025974026,Truthful,663f6c3c00d480a9ce332aec,Ending a long romantic relationship
1,102,140,1.3725490196078431,40.7,-15.14,43.77,87.69,4.72,0.98,2.94,7.84,4.9,0.98,19.61,0.98,8.82,4.9,13.719999999999999,1.96,-0.00999999999999801,1.9607843137254901,0.0,0.9803921568627451,0.0,2.8673333333333333,Truthful,61686ae36b1ad59181b7a22e,Ending a long romantic relationship
4,82,112,1.3658536585365855,8.9,67.59,34.86,98.46,8.85,0.0,1.2,3.61,4.82,2.41,15.66,0.0,13.25,1.2,15.66,0.0,1.1999999999999993,1.2195121951219512,0.0,1.2195121951219512,0.0,2.59,Truthful,65803cd578d5ef14e500b072,A job interview for your dream job
8,145,204,1.4068965517241379,8.0,70.02,75.68,31.32,29.25,1.34,0.67,6.04,1.34,0.0,10.74,0.0,8.72,2.68,10.74,0.67,2.6799999999999997,0.6666666666666667,0.0,1.3333333333333335,0.0,3.170833333333333,Truthful,5fb3d42dc5d76c000aedf11d,Missing a deadline at work because of bad organisation
5,89,110,1.2359550561797752,5.5,87.25,21.5,91.95,20.23,3.37,3.37,13.48,1.12,1.12,13.48,1.12,10.11,5.62,15.73,0.0,8.989999999999998,5.434782608695652,0.0,0.0,0.0,3.0416666666666665,Truthful,60c11f097cf8862b2eb43f12,Ending a long romantic relationship
12,167,248,1.4850299401197604,7.5,65.83,16.62,91.68,20.23,3.59,3.59,4.19,7.19,4.19,17.37,0.0,8.98,0.6,16.18,3.5999999999999996,10.190000000000001,0.0,0.0,0.5988023952095809,0.0,2.7203636363636368,Truthful,61090bc66f3030fb12976f8e,Ending a long romantic relationship
1,62,80,1.2903225806451613,23.9,33.93,41.62,58.85,89.28,4.84,0.0,11.29,0.0,0.0,12.9,0.0,9.68,1.61,9.67,3.22,4.83,0.0,0.0,0.0,0.0,3.7664705882352942,Truthful,611e27aa50a1d65dc3eb2e36,Getting a speeding fine
3,70,104,1.4857142857142858,11.2,56.29,82.4,86.85,,0.0,0.0,7.14,4.29,0.0,7.14,0.0,8.57,2.86,14.28,1.43,8.57,1.3888888888888888,0.0,0.0,0.0,3.200714285714285,Truthful,6148619a82570cb41a0b8b32,Missing a deadline at work because of bad organisation
12,192,241,1.2552083333333333,6.0,80.62,8.85,85.54,10.03,2.6,3.65,10.42,2.6,0.0,18.23,0.0,12.5,4.6899999999999995,10.940000000000001,3.64,3.120000000000001,2.0618556701030926,0.0,0.0,0.0,2.8400000000000003,Truthful,65410a2c2b4782dbdb520075,Ending a long romantic relationship
8,66,77,1.1666666666666667,1.8,96.89,14.87,99.0,20.23,1.52,1.52,7.58,6.06,4.55,13.64,0.0,19.7,3.04,16.68,1.52,7.59,1.4492753623188406,0.0,0.0,0.0,3.3745,Truthful,61079d862ea28a34266c6add,Ending a long romantic relationship
4,116,152,1.3103448275862069,11.1,67.42,6.9,75.09,31.82,2.52,1.68,11.76,0.84,0.0,18.49,0.0,12.6,6.72,10.92,0.84,-2.5299999999999976,3.4482758620689653,0.0,0.0,0.0,2.8971428571428577,Truthful,5e56a5416589e605ffda2972,Ending a long romantic relationship
8,125,155,1.24,4.7,89.48,13.35,40.54,3.14,2.4,4.8,12.8,0.0,0.8,15.2,0.0,10.4,7.2,8.8,3.2,4.0,0.0,0.0,0.0,0.0,3.01448275862069,Truthful,605f143dca6594d109a9ab40,Ending a long romantic relationship
8,136,174,1.2794117647058822,6.4,79.6,72.12,89.39,41.97,2.21,0.74,10.29,2.21,0.0,5.15,0.0,8.09,2.21,20.59,1.48,19.86,2.1739130434782608,0.0,1.4492753623188406,0.0,3.3534210526315786,Truthful,605f5f48a941e32ac784c084,Being involved in a car accident
5,94,147,1.5638297872340425,10.6,52.39,20.01,64.81,35.29,2.13,1.06,11.7,0.0,0.0,10.64,0.0,10.64,3.19,15.950000000000001,0.0,8.5,3.0303030303030303,0.0,1.0101010101010102,0.0,3.36,Truthful,605272be8568b6160f582f2e,None of them
5,106,164,1.5471698113207548,10.4,58.42,54.43,87.76,33.4,1.89,0.94,14.15,0.0,2.83,8.49,0.0,7.55,0.0,14.149999999999999,0.0,8.489999999999997,1.8691588785046727,0.0,0.0,0.0,2.966,Truthful,63ee1884534ecc3f58e7bb8a,Being hospitalised and undergoing surgery
2,71,90,1.267605633802817,13.6,60.82,92.9,99.0,40.95,1.41,0.0,5.63,1.41,0.0,9.86,0.0,11.27,0.0,22.54,1.41,15.5,1.4084507042253522,2.8169014084507045,0.0,0.0,3.1405263157894736,Truthful,5f1f4497da321e111475a32e,Taking the bus/train without the ticket
4,109,156,1.4311926605504588,11.6,60.69,16.59,5.24,1.0,1.83,6.42,11.93,0.92,0.0,10.09,0.0,10.09,10.09,8.25,0.0,7.330000000000002,0.0,0.0,0.0,0.0,2.6246875000000003,Truthful,6150dae3ef63aeb6fe89ccff,Ending a long romantic relationship
1,82,117,1.4268292682926829,32.9,5.17,37.58,99.0,1.0,0.0,3.66,18.29,0.0,0.0,8.54,0.0,10.98,0.0,15.86,3.66,14.64,3.6585365853658534,0.0,0.0,0.0,3.254074074074074,Truthful,6155841573df9e7e0d71a709,Being hospitalised and undergoing surgery
1,70,85,1.2142857142857142,25.9,34.27,79.45,42.95,65.27,2.86,0.0,5.71,0.0,0.0,5.71,0.0,11.43,0.0,7.14,2.86,7.1499999999999995,2.857142857142857,2.857142857142857,0.0,0.0,3.5242105263157892,Truthful,66033d023223d50c85612b23,None of them
3,81,116,1.4320987654320987,11.5,60.99,69.38,98.13,20.23,1.23,1.23,11.11,0.0,3.7,2.47,0.0,11.11,1.23,17.28,0.0,17.28,1.2345679012345678,0.0,1.2345679012345678,0.0,3.1146153846153855,Truthful,613bc22e44b422b031a7218b,A job interview for your dream job
7,120,150,1.25,6.4,79.5,1.62,74.02,45.29,3.33,1.67,15.0,2.5,1.67,12.5,0.0,15.83,5.83,6.66,0.83,-0.009999999999999787,1.6528925619834711,0.0,1.6528925619834711,0.0,3.205277777777778,Truthful,61528e4039817788730f3263,Ending a long romantic relationship
5,81,110,1.3580246913580247,7.2,71.95,13.9,98.13,8.65,2.47,3.7,11.11,0.0,0.0,19.75,1.23,14.81,6.17,12.34,1.23,-0.00999999999999801,0.0,0.0,0.0,0.0,2.9030434782608694,Truthful,610e33564293d6b6a060e1c7,Missing a deadline at work because of bad organisation
5,111,136,1.2252252252252251,7.2,82.78,35.05,99.0,2.35,0.0,2.7,14.41,0.9,0.0,9.01,0.0,14.41,2.7,14.419999999999998,1.8,9.909999999999998,0.8849557522123894,0.0,0.0,0.8849557522123894,3.1182758620689666,Truthful,602c11c29029ff46f065703d,Cheating on an exam
3,58,81,1.396551724137931,8.5,68.81,32.86,99.0,46.24,3.45,1.72,13.79,1.72,1.72,18.97,0.0,13.79,0.0,12.07,1.72,-0.00999999999999801,0.0,0.0,0.0,0.0,2.564375,Truthful,5ef0a7652df215607fd60858,Missing a deadline at work because of bad organisation
11,192,273,1.421875,7.8,70.63,31.5,85.54,91.93,5.21,0.0,7.81,2.6,0.52,11.98,0.0,8.85,2.6,10.940000000000001,0.0,4.170000000000002,1.0362694300518136,0.0,0.0,0.0,3.0060416666666665,Truthful,6108906e81224a2bfa9d6c7b,A job interview for your dream job
